from,to,weight,type,direction,latency,throughput,protocol,status,last_checked,error_rate,description,slas
59,6,13,Data Flow,One-way,45,550,HTTP,Active,2024-06-27,0.02%,"Data flow from SYS-059 to SYS-006",99.8% uptime
59,21,34,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.03%,"API communication between SYS-059 and SYS-021",99.7% uptime
33,7,12,Data Flow,One-way,40,600,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-033 to SYS-007",99.9% uptime
26,61,11,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-026 and SYS-061",99.8% uptime
56,21,32,Data Flow,One-way,42,580,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-056 to SYS-021",99.9% uptime
32,16,11,API Call,Two-way,34,520,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-032 and SYS-016",99.8% uptime
19,20,14,Data Flow,One-way,36,560,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-019 to SYS-020",99.9% uptime
19,41,12,API Call,Two-way,30,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-019 and SYS-041",99.8% uptime
19,16,30,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-019 to SYS-016",99.9% uptime
19,58,39,API Call,Two-way,35,530,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-019 and SYS-058",99.8% uptime
19,21,37,Data Flow,One-way,40,500,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-019 to SYS-021",99.9% uptime
19,1,12,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-019 and SYS-001",99.8% uptime
19,66,39,Data Flow,One-way,42,470,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-019 to SYS-066",99.9% uptime
19,55,18,API Call,Two-way,38,490,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-019 and SYS-055",99.8% uptime
19,76,13,Data Flow,One-way,35,520,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-019 to SYS-076",99.9% uptime
19,9,15,API Call,Two-way,30,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-019 and SYS-009",99.8% uptime
19,73,104,Data Flow,One-way,45,550,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-019 to SYS-073",99.9% uptime
19,22,20,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-019 and SYS-022",99.8% uptime
48,41,12,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-048 to SYS-041",99.9% uptime
48,16,28,API Call,Two-way,35,530,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-048 and SYS-016",99.8% uptime
48,64,13,Data Flow,One-way,40,500,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-048 to SYS-064",99.9% uptime
48,7,40,API Call,Two-way,42,470,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-048 and SYS-007",99.8% uptime
31,21,41,Data Flow,One-way,38,490,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-031 to SYS-021",99.9% uptime
20,62,18,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-020 and SYS-062",99.8% uptime
20,16,19,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-020 to SYS-016",99.9% uptime
20,51,29,API Call,Two-way,40,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-020 and SYS-051",99.8% uptime
20,21,56,Data Flow,One-way,35,520,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-020 to SYS-021",99.9% uptime
20,1,11,API Call,Two-way,38,490,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-020 and SYS-001",99.8% uptime
20,74,65,Data Flow,One-way,42,470,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-020 to SYS-074",99.9% uptime
20,36,12,API Call,Two-way,30,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-020 and SYS-036",99.8% uptime
20,46,32,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-020 to SYS-046",99.9% uptime
20,9,112,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-020 and SYS-009",99.8% uptime
20,7,11,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-020 to SYS-007",99.9% uptime
20,10,23,API Call,Two-way,40,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-020 and SYS-010",99.8% uptime
20,52,31,Data Flow,One-way,35,520,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-020 to SYS-052",99.9% uptime
78,16,11,API Call,Two-way,38,490,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-078 and SYS-016",99.8% uptime
78,50,14,Data Flow,One-way,42,470,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-078 to SYS-050",99.9% uptime
15,52,61,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.03%,"API communication between SYS-015 and SYS-052",99.7% uptime
15,34,11,Data Flow,One-way,35,520,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-015 to SYS-034",99.9% uptime
29,62,16,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-029 and SYS-062",99.8% uptime
62,41,12,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-062 to SYS-041",99.9% uptime
62,16,64,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-062 and SYS-016",99.8% uptime
62,43,11,Data Flow,One-way,30,500,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-062 to SYS-043",99.9% uptime
62,21,14,API Call,Two-way,36,560,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-062 and SYS-021",99.8% uptime
62,74,14,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-062 to SYS-074",99.9% uptime
62,65,33,API Call,Two-way,40,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-062 and SYS-065",99.8% uptime
62,50,22,Data Flow,One-way,35,520,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-062 to SYS-050",99.9% uptime
62,9,49,API Call,Two-way,42,470,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-062 and SYS-009",99.8% uptime
